source_dataset,source_dataset_id,program_year,program_type,ce_id,ce_name,county,region,claim_date,total_meals,reimbursement_amount,reimbursement_per_meal,data_quality_flags
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00176,ALTO ISD,CHEROKEE,2,2019-06-01T00:00:00.000,2630,7285.7,2.770228136882129,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00177,JACKSONVILLE ISD,CHEROKEE,2,2019-06-01T00:00:00.000,3513,10492.82,2.986854540278964,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00177,JACKSONVILLE ISD,CHEROKEE,2,2019-07-01T00:00:00.000,352,1169.6,3.3227272727272723,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00178,RUSK ISD,CHEROKEE,2,2019-06-01T00:00:00.000,941,3189.99,3.3899999999999997,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00179,NEW SUMMERFIELD ISD,CHEROKEE,2,2019-05-01T00:00:00.000,577,1691.03,2.930727902946274,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00179,NEW SUMMERFIELD ISD,CHEROKEE,2,2019-06-01T00:00:00.000,2223,6422.22,2.8889878542510123,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00192,SANTA ANNA ISD,COLEMAN,1,2019-06-01T00:00:00.000,1444,4116.41,2.850699445983379,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00193,PANTHER CREEK CONS ISD,COLEMAN,1,2019-06-01T00:00:00.000,265,580.91,2.1921132075471697,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00198,FARMERSVILLE ISD,COLLIN,2,2019-06-01T00:00:00.000,1322,4481.58,3.39,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00200,MCKINNEY ISD,COLLIN,2,2019-06-01T00:00:00.000,16410,46152.96,2.812489945155393,ok
SSO Reimbursements 2019,rbdj-agw7,2019,SSO,00200,MCKINNEY ISD,COLLIN,2,2019-07-01T00:00:00.000,6111,19149.16,3.133555882834233,ok
