programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,covidmealsitecount,regularmealsitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00092,SOUTHSIDE ISD,Educational Institution,Public,20,4,015-917,BEXAR,8,0,8,2021-09-01T00:00:00.000,60368,0,79068,0,0,148656.2000,0.0000,341376.0900,0.0000,0.0000,490032.2900
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00108,SIMMS ISD,Educational Institution,Public,8,2,019-909,BOWIE,3,0,3,2020-12-01T00:00:00.000,928,0,3269,0,0,2097.2800,0.0000,11768.4000,0.0000,0.0000,13865.6800
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00129,BROOKS COUNTY ISD,Educational Institution,Public,1,5,024-901,BROOKS,5,1,4,2020-10-01T00:00:00.000,24117,0,25246,0,0,54504.4200,0.0000,90885.6000,0.0000,0.0000,145390.0200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00782,MIDWAY ISD-WACO,Educational Institution,Public,12,2,161-903,MCLENNAN,5,5,0,2021-06-01T00:00:00.000,9772,0,10907,0,0,20627.6600,0.0000,39047.0600,0.0000,0.0000,59674.7200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00992,LINDALE ISD,Educational Institution,Public,7,2,212-903,SMITH,7,1,6,2021-05-01T00:00:00.000,17746,0,48998,0,0,40105.9600,0.0000,176392.8000,0.0000,0.0000,216498.7600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01001,SAN ISIDRO ISD,Educational Institution,Public,1,5,214-902,STARR,2,0,2,2021-08-01T00:00:00.000,769,0,1026,0,0,1893.6600,0.0000,4429.7500,0.0000,0.0000,6323.4100
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01033,TEXAS COLLEGE PREPARATORY ACADEMIES,Educational Institution,Charter,14,1,221-801,TAYLOR,35,0,35,2021-05-01T00:00:00.000,49072,0,67910,0,0,102744.9600,0.0000,244476.0000,0.0000,0.0000,347220.9600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01170,SLIDELL ISD,Educational Institution,Public,11,2,249-908,WISE,1,0,1,2021-01-01T00:00:00.000,3186,0,4542,0,0,7200.3600,0.0000,16351.2000,0.0000,0.0000,23551.5600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,01233,ST ANTHONY SCHOOL,Private Non Profit Organization,Private,2,5,178-,NUECES,1,1,0,2021-06-01T00:00:00.000,352,0,586,0,0,795.5200,0.0000,2109.6000,0.0000,0.0000,2905.1200
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00190,ROBERT LEE ISD,Educational Institution,Public,15,4,041-902,COKE,1,0,1,2021-08-01T00:00:00.000,1171,0,1822,0,0,2883.5800,0.0000,7866.4800,0.0000,0.0000,10750.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00347,FABENS ISD,Educational Institution,Public,19,1,071-903,EL PASO,8,4,4,2020-10-01T00:00:00.000,6211,0,6270,0,0,14036.8600,0.0000,22572.0000,0.0000,0.0000,36608.8600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00384,LAMAR CONSOLIDATED ISD,Educational Institution,Public,4,3,079-901,FORT BEND,64,19,45,2020-11-01T00:00:00.000,119167,0,248300,0,0,258097.5400,0.0000,893880.0000,0.0000,0.0000,1151977.5400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00425,COLLINSVILLE ISD,Educational Institution,Public,10,2,091-902,GRAYSON,3,1,2,2021-01-01T00:00:00.000,4501,0,6438,0,0,10172.2600,0.0000,23176.8000,0.0000,0.0000,33349.0600
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00687,SCURRY-ROSSER ISD,Educational Institution,Public,10,2,129-910,KAUFMAN,3,0,3,2021-08-01T00:00:00.000,2389,0,6112,0,0,5882.9100,0.0000,26388.5600,0.0000,0.0000,32271.4700
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00729,NORMANGEE ISD,Educational Institution,Public,6,3,145-906,LEON,3,0,3,2021-09-01T00:00:00.000,2902,0,7741,0,0,7146.1700,0.0000,33421.7600,0.0000,0.0000,40567.9300
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00115,BRAZOSPORT ISD,Educational Institution,Public,4,3,020-905,BRAZORIA,23,4,19,2021-02-01T00:00:00.000,41654,0,94560,0,0,94138.0400,0.0000,340416.0000,0.0000,0.0000,434554.0400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00115,BRAZOSPORT ISD,Educational Institution,Public,4,3,020-905,BRAZORIA,9,1,8,2021-06-01T00:00:00.000,17270,0,20768,0,0,39030.2000,0.0000,74764.8000,0.0000,0.0000,113795.0000
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00134,ZEPHYR ISD,Educational Institution,Public,15,1,025-906,BROWN,1,0,1,2021-03-01T00:00:00.000,1169,0,2765,0,0,2641.9400,0.0000,9954.0000,0.0000,0.0000,12595.9400
2020-2021,SUMMERSSOCEREIMBURSEMENTS,00137,CALDWELL ISD,Educational Institution,Public,6,3,026-901,BURLESON,2,0,2,2021-04-01T00:00:00.000,7215,0,21406,0,0,16305.9000,0.0000,77061.6000,0.0000,0.0000,93367.5000
