programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,countydistrictcode,cecounty,sitecount,claimdate,breakfastmealsreimbursed,amsnackmealsreimbursed,lunchmealsreimbursed,pmsnackmealsreimbursed,suppermealsreimbursed,breakfastreimbursement,amsnackreimbursement,lunchreimbursement,pmsnackreimbursement,supperreimbursement,totalreimbursement
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00113,ANGLETON ISD,Educational Institution,Public,4,3,020-902,BRAZORIA,1,2019-08-01T00:00:00.000,0,0,291,0,0,0,0,1018.5000,0,0,1018.5000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00115,BRAZOSPORT ISD,Educational Institution,Public,4,3,020-905,BRAZORIA,8,2019-06-01T00:00:00.000,6824,0,12128,0,0,14603.3600,0,41113.9200,0,0,55717.2800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00115,BRAZOSPORT ISD,Educational Institution,Public,4,3,020-905,BRAZORIA,4,2019-07-01T00:00:00.000,1842,0,2701,0,0,4052.4000,0,9453.5000,0,0,13505.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,Public,4,3,020-906,BRAZORIA,1,2019-06-01T00:00:00.000,838,0,1007,0,0,1793.3200,0,3413.7300,0,0,5207.0500
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00116,SWEENY ISD,Educational Institution,Public,4,3,020-906,BRAZORIA,2,2019-07-01T00:00:00.000,203,0,1865,0,0,446.6000,0,6527.5000,0,0,6974.1000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00117,COLUMBIA-BRAZORIA ISD,Educational Institution,Public,4,3,020-907,BRAZORIA,1,2019-06-01T00:00:00.000,1230,0,1722,0,0,2632.2000,0,5837.5800,0,0,8469.7800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00117,COLUMBIA-BRAZORIA ISD,Educational Institution,Public,4,3,020-907,BRAZORIA,1,2019-07-01T00:00:00.000,142,0,197,0,0,312.4000,0,689.5000,0,0,1001.9000
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,Public,6,3,021-901,BRAZOS,3,2019-05-01T00:00:00.000,478,0,1115,0,0,957.1200,0,3757.5500,0,0,4714.6700
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,Public,6,3,021-901,BRAZOS,5,2019-06-01T00:00:00.000,3574,0,6156,0,0,7114.2600,0,20745.7200,0,0,27859.9800
2018-2019,SUMMERSSOCEREIMBURSEMENTS,00122,COLLEGE STATION ISD,Educational Institution,Public,6,3,021-901,BRAZOS,1,2019-07-01T00:00:00.000,716,0,1662,0,0,1317.4400,0,5783.7600,0,0,7101.2000
