odprecid,programyear,program,ceid,cename,typeofagency,typeoforg,esc,tdaregion,siteid,sitename,countydistrictcode,cecounty,sitecounty,claimdate,breakfastdays,breakfast,breakfasttotal,amsnackdays,amsnack,amsnacktotal,lunchdays,lunch,lunchtotal,pmsnackdays,pmsnack,pmsnacktotal,supperdays,supper,suppertotal,totalsnacks,totalmealssnacks,secondbreakfast,secondamsnack,secondlunch,secondpmsnack,secondsupper
03949-0056,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0056,Sunlight Manor,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0061,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0061,YMCA - Orange,,JEFFERSON,ORANGE,2024-06-01T00:00:00.000,17,113,135,0,0,0,17,223,262,0,0,0,0,0,0,0,397,22,0,39,0,0
03949-0061,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0061,YMCA - Orange,,JEFFERSON,ORANGE,2024-07-01T00:00:00.000,20,105,119,0,0,0,20,301,329,0,0,0,0,0,0,0,448,14,0,28,0,0
03949-0061,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0061,YMCA - Orange,,JEFFERSON,ORANGE,2024-08-01T00:00:00.000,6,61,74,0,0,0,6,83,91,0,0,0,0,0,0,0,165,13,0,8,0,0
03949-0063,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0063,Plymouth Village Apartments,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,9,182,204,0,0,0,0,0,0,0,204,0,0,22,0,0
03949-0063,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0063,Plymouth Village Apartments,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,0,0,0,0,0,0,7,117,117,0,0,0,0,0,0,0,117,0,0,0,0,0
03949-0063,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0063,Plymouth Village Apartments,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0068,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0068,St. Paul Lutheran Church,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0075,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0075,Arthur Square Apartments,,JEFFERSON,JEFFERSON,2024-06-01T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03949-0075,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0075,Arthur Square Apartments,,JEFFERSON,JEFFERSON,2024-07-01T00:00:00.000,20,62,69,0,0,0,20,84,93,0,0,0,0,0,0,0,162,7,0,9,0,0
03949-0075,2024,SUMMER_FOOD_SERVICE_PROG_MEALS,03949,"TRIANGLE COMMUNITY OUTREACH, INC.",Private Non Profit Organization,Private Nonprofit,5,3,0075,Arthur Square Apartments,,JEFFERSON,JEFFERSON,2024-08-01T00:00:00.000,2,7,7,0,0,0,2,4,4,0,0,0,0,0,0,0,11,0,0,0,0,0
